,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
7184,Network Engineer I,"Melbourne, FL","Acorn Science & Innovation, Inc.","<nobr>$70,000 - $75,000 a year</nobr>",None,None,"The US NDC is the geophysical data acquisition, data processing, reporting and archiving component of the United States Atomic Energy Detection System (USAEDS)..."
7185,Systems Administrator (Linux),"Melbourne, FL 32935",Harris Corporation,None,239 reviews,43.2,"Ensures server data integrity by evaluating, implementing and managing appropriate software and hardware solutions...."
7186,Geoscientist (NNSA),"Melbourne, FL",Honeywell,None,"3,482 reviews",44.4,Determination of data corrections. Compilation of reference data sets. The Geoscientist (NNSA) will provide interface with the National Nuclear Security...
7187,Electrical Engineer Intern,"Palm Bay, FL 32905",Harris Corporation,None,239 reviews,43.2,"Analyze equipment to establish operating data, conducts experimental tests and evaluates results. Utilize modeling tools and equipment to establish operating..."
7188,Network Planning Engineer - Mission Support,"Melbourne, FL 32935",Harris Corporation,None,239 reviews,43.2,"Domain knowledge of data protocols including TCP/IP, BGP, OSPF, MPLS, EIGRP, HSRP, IS-IS, PIM, and Ethernet...."
7189,Network Planning Engineer,"Melbourne, FL 32935",Harris Corporation,None,239 reviews,43.2,"Network Tools and implementation data sources (MR TOOL, AutoCAD, Metasolv, FINS/OSS, Business Objects, PDM, ClearQuest, SSMT, and PITS)...."
7190,Software Quality Engineer,"Cape Canaveral, FL",Cameron Resources Group LLC,None,None,None,Assist in compilation of data in support of Management Reviews. Interested in expanding your knowledge through working with a high-caliber team of engineers &amp;...
7191,DATA SCIENTIST,"Charlottesville, VA 22909 (North East area)",S&P GLOBAL MARKET INTELLIGENCE,None,20 reviews,43.2,"As a Data Scientist, you will be responsible for the execution of data science projects that deliver novel, data-driven insights, and innovative data products..."
7192,Research Computing Associate/Computational Scientist,"Charlottesville, VA",University of Virginia,None,138 reviews,52.1,"The University of Virginia's School of Medicine seeks a Research Computing Associate/Computational Scientist. Required Knowledge, Skills, and Abilities include..."
7193,Data Scientist,"Charlottesville, VA",CCRi,None,11 reviews,42.0,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills...."
7194,Data Scientist,"Charlottesville, VA 22901 (29 North area)","Commonwealth Computer Research, Inc.",None,None,None,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills...."
7195,Data Scientist - Multi Levels,"Charlottesville, VA",MDA Information Systems LLC,None,None,None,"MDA is looking Data Scientist- Multi Levels for our Charlottesville, VA., Washington, DC and Northern, VA. Develop, validate, and implement data models to solve..."
7196,Research Scientist,"Charlottesville, VA",University of Virginia,None,138 reviews,52.1,The candidate will generate pre-clinical data in xenografts for CARs that have already been developed and will work with Dr....
7197,Lead Data Scientist,"Charlottesville, VA 22909 (North East area)",S&P GLOBAL MARKET INTELLIGENCE,None,20 reviews,43.2,"Experience with data mining, machine learning, natural language processing, and data visualization. As such, it provides an unusually rich environment for a..."
7198,Data Scientist / Statistician,"Charlottesville, VA",ANALYTICA,None,4 reviews,51.0,"ANALYTICA is seeking a Data Scientist / Statistician to support a federal government client in Charlottesville, VA...."
7199,Bioinformatics Analyst,"Charlottesville, VA",University of Virginia,"<nobr>$50,000 - $70,000 a year</nobr>",138 reviews,52.1,"In addition, qualified candidates will have at least 5 years of experience collaborating with research scientists in performing bioinformatics/genomics data..."
7200,Frontend Software Engineer for UI/UX,"Charlottesville, VA 22901 (29 North area)","Commonwealth Computer Research, Inc.",None,None,None,"Are interested in data mining, analytics, and/or machine learning. Have experience with data visualization tools/toolkits - big plus if using d3...."
7201,User Support/Documentation Specialist,"Charlottesville, VA",Center for Open Science,None,None,None,"Our users are researchers, funders, librarians, and data scientists. The Center for Open Science (COS) develops tools to support the scientific workflow (i.e.,..."
7202,Research Associate,"Charlottesville, VA",University of Virginia,None,138 reviews,52.1,"Analysis and evaluation of obtained data, with the goal of publishing. The Department of Medicine, Division of Infectious Diseases at the University of Virginia..."
7203,Research Scientist (Military Programs),"Charlottesville, VA",University of Virginia,"<nobr>$46,200 - $115,100 a year</nobr>",138 reviews,52.1,"Set-up and operation of high speed data acquisition systems including DTS products such as SLICE, SLICE Pro and TDAS,...."
7204,Machine Learning/Algorithm Developer-Multi Levels,"Charlottesville, VA",MDA Information Systems LLC,None,None,None,"Apply machine learning in large data environments. Complete data mining, predictive modeling, clustering, and classification...."
7205,Laboratory Assistant,"Waynesboro, VA 22980",INVISTA,None,170 reviews,41.4,"Process engineers, scientists, operators, etc. I.e inputting, analyzing, and/or extracting data. Responsible for maintaining lab data management processes;..."
7206,Immunology/Bioinformatic Post-Doctoral Positions,"Charlottesville, VA 22911",AMPEL BioSolutions LLC,None,None,None,AMPEL provides the opportunity to learn cutting-edge research techniques and work collectively with scientists from several top research universities throughout...
7207,Software Quality Assurance Engineer,"Charlottesville, VA 22902",Silverchair Science and Communications,None,None,None,"Demonstrated skills writing Transact-SQL to effectively create and modify test data and verify results within databases, particularly Microsoft SQL Server...."
7208,Biodefense Research Scientist,"Charlottesville, VA 22905 (Ridge St area)",Battelle,None,162 reviews,51.0,We are currently seeking a Biodefense Research Scientist. Research and analysis in this position will require the development of complex data query strategies...
7209,Eng Assistant,"Charlottesville, VA 22903",Luna Innovations Incorporated,None,3 reviews,43.2,"Perform basic data collection, processing, and preliminary analysis. Experience with data acquisition systems is a must, LabVIEW would be preferable...."
7210,Reproducible and Open Practices Trainer,"Charlottesville, VA",Center for Open Science,None,None,None,Diverse experience with technologies for data collection and analysis. The trainer will assist in forming and maintaining COS’s best practices for reproducible...
7211,North American ARC- Scientific Staff,"Charlottesville, VA 22903",National Radio Astronomy Observatory,None,4 reviews,51.0,Experience in diagnostic analysis of imperfect radio or millimeter data. Staff scientists within the NA ARC are involved in a variety of scientific support...
7212,Senior Software Engineer,"Charlottesville, VA 22901 (29 North area)","Commonwealth Computer Research, Inc.",None,None,None,"As a software engineer at CCRi, you will work on a team with data scientists and UI/UX developers to implement analytical tools...."
7213,Geospatial Consultant,"Charlottesville, VA",University of Virginia,"<nobr>$55,000 - $65,000 a year</nobr>",138 reviews,52.1,"As a member of the Scholars' Lab, the employee in this position will support that mission by collaborating with a cohort of librarians, geospatial data experts,..."
7214,Senior Ruby Engineers,"Charlottesville, VA",ArcheMedX,None,None,None,"As a senior member of a growing engineering team you will play a key role, working daily with Product Managers, Engineers, and Data Scientists, to help plan and..."
7215,Applications/Product Development Engineer/Scientist (Medical...,"Charlottesville, VA","Lohmann Specialty Coatings, LLC (Orange, VA)",None,None,None,"Ability to conduct routine lab tests, analyze and interpret data, design and develop lab-scale prototypes and provide excellent documentation...."
7216,Senior Software Engineer,"Charlottesville, VA",CCRi,None,11 reviews,42.0,"Javascript, AJAX, CSS, AngularJS, D3 Data visualization:. As a software engineer at CCRi, you will work on a team with data scientists and UI/UX developers to..."
7217,Axon Dx - Senior Imaging Software Engineer,"Earlysville, VA 22936",Axon Dx,None,None,None,Multi-dimensional data mining to extract statistically robust quantitative data. Ability to work closely with scientists to solve complex biological problems....
7218,Frontend Software Engineer for UI/UX,"Charlottesville, VA",CCRi,None,11 reviews,42.0,"Javascript, AJAX, CSS, AngularJS, D3 Data visualization:. You will work with our superlative team that includes Systems Engineers, Mathematicians, Computer..."
7219,Bioinformatistician,"Charlottesville, VA",PAE,None,215 reviews,43.8,Advance the discovery of genetic exploitation for intelligence purposes related to human DNA or bio-warfare agentsMonitor research in the field of...
7220,Transparency and Openness Training Coordinator,"Charlottesville, VA",Center for Open Science,None,None,None,Diverse experience with technologies for data collection and analysis; The training coordinator will assist in forming and maintaining COS’s best practices for...
7221,Senior Software Developer,"Charlottesville, VA 22909 (North East area)",S&P GLOBAL MARKET INTELLIGENCE,None,20 reviews,43.2,"You will be working with global search team comprising of search engineers, senior data scientists, java and senior .net developers...."
